ID,Title,Pillar,Priority,Effort,Current_Apex_Status,Category_Leading,Parity_Gap,Competitors_With_It,Gap_Analysis_Ref,Sprint,Notes
NFR-AVL-003,RTO ≤1 hour,AVAILABILITY,P0,M,Partial,,,Industry-standard,RFP-§6.4,S3,
NFR-AVL-004,Daily Postgres backups 30-day retention,AVAILABILITY,P0,S,Partial,,,Industry-standard,RFP-§6.4,S0,Self-hosted Supabase pg_dump + WAL archive to R2
TR-ARC-000,Self-hosted Supabase stack on-server,ARCHITECTURE,P0,L,Missing,,,Internal tooling,RFP-§7.2,S0,Postgres + GoTrue + Storage + Realtime + Studio via docker-compose — replaces Neon + Clerk
TR-MIG-001,Neon→Supabase Postgres data migration,MIGRATION,P0,M,Missing,,,Internal,RFP-§9.0,S0,pg_dump + restore + dual-write validation
TR-MIG-002,Clerk→Supabase Auth user migration,MIGRATION,P0,M,Missing,,,Internal,RFP-§9.0,S0,Export Clerk users + import to auth.users + retain mapping table 90 days
TR-MIG-003,Replace @clerk/nextjs with @supabase/ssr,MIGRATION,P0,M,Missing,,,Internal,RFP-§9.0,S0,Session flow + middleware refactor
TR-MIG-004,RLS policies migrated to Supabase native tooling,MIGRATION,P0,M,Missing,,,Internal,RFP-§9.0,S0,Supabase Studio editor + test harness
TR-MIG-005,Dual-write cutover + Neon decommission,MIGRATION,P0,S,Missing,,,Internal,RFP-§9.0,S0,48h parity window then DNS swap
TR-MIG-006,Supabase backup + restore drill,MIGRATION,P0,S,Missing,,,Internal,RFP-§9.0,S0,Daily pg_dump + WAL to encrypted offsite R2
NFR-AVL-005,Multi-region failover capable,AVAILABILITY,P1,L,Missing,,,Enterprise,RFP-§6.4,S5,Runbook tested quarterly
NFR-AVL-006,Public status page status.apex.com,AVAILABILITY,P1,S,Missing,,,Stripe tier,RFP-§6.4,S1,90-day incident history
NFR-AVL-007,Incident postmortems <5 business days,AVAILABILITY,P2,S,Missing,,,Stripe tier,RFP-§6.4,S3,
NFR-UX-001,Cmd+K command palette fuzzy search,UX,P1,M,Missing,🏆,,Linear Superhuman,RFP-§6.5,S2,Premium marker
NFR-UX-002,Optimistic UI mutation feels instant,UX,P1,M,Partial,🏆,,Linear tier,RFP-§6.5,S2,
NFR-UX-003,Keyboard-first navigation J/K/Enter/Esc,UX,P1,M,Missing,🏆,,Linear Superhuman,RFP-§6.5,S2,
NFR-UX-004,Dark + Light themes per-tenant configurable,UX,P1,S,Partial,,,Industry-standard,RFP-§6.5,S2,
NFR-UX-005,Design-system compliance var() not hex,UX,P0,S,Shipping,,,Industry-standard,RFP-§6.5,S1,Enforced in CI
NFR-UX-006,Honest empty states no fabricated data,UX,P0,S,Shipping,🏆,,Rare in market,RFP-§6.5,S1,Signature Apex pattern
NFR-UX-007,Loading skeletons no blank flashes,UX,P1,S,Partial,,,Industry-standard,RFP-§6.5,S2,
NFR-UX-008,Error boundaries graceful degradation,UX,P1,S,Partial,,,Industry-standard,RFP-§6.5,S2,
NFR-UX-009,Accessibility WCAG 2.2 AA,UX,P1,M,Partial,,,Enterprise-required,RFP-§6.5,S2,axe-core passes
NFR-UX-010,PWA offline read-only support,UX,P2,M,Missing,🏆,,None,RFP-§6.5,S5,Install prompt + 7-day cache
NFR-UX-011,Push notifications visibility drops,UX,P2,S,Missing,🏆,,None,RFP-§6.5,S5,Web Push API
NFR-OBS-001,All LLM calls traced Langfuse,OBSERVABILITY,P0,M,Missing,,,Industry-best-practice,RFP-§6.6,S1,100% coverage replayable
NFR-OBS-002,Application errors Sentry,OBSERVABILITY,P0,S,Shipping,,,Industry-standard,RFP-§6.6,S1,
NFR-OBS-003,Structured JSON logs centralized,OBSERVABILITY,P0,S,Partial,,,Industry-standard,RFP-§6.6,S1,Grafana Loki
NFR-OBS-004,OpenTelemetry spans HTTP DB LLM,OBSERVABILITY,P1,M,Missing,,,Enterprise,RFP-§6.6,S3,Grafana Tempo
NFR-OBS-005,Custom business metrics MRR tenants,OBSERVABILITY,P1,S,Missing,,,Industry-standard,RFP-§6.6,S3,
NFR-OBS-006,Alerting error rate latency queue depth,OBSERVABILITY,P0,S,Missing,,,Industry-standard,RFP-§6.6,S1,PagerDuty
NFR-OBS-007,Customer-facing usage metrics in-UI,OBSERVABILITY,P1,M,Partial,,,Enterprise Tier-1,RFP-§6.6,S3,Per-tenant quota
TR-ARC-001,Langfuse self-hosted for every LLM call,ARCHITECTURE,P0,M,Missing,,,Internal tooling,RFP-§7.2,S1,Drop-in observability
TR-ARC-002,LiteLLM proxy for provider routing budgets,ARCHITECTURE,P0,M,Missing,,,Internal tooling,RFP-§7.2,S1,
TR-ARC-003,Crawl4AI for AI-friendly scraping,ARCHITECTURE,P1,M,Missing,,,Internal tooling,RFP-§7.2,S3,Replace paid Browserless paths
TR-ARC-004,Unlighthouse for bulk audit,ARCHITECTURE,P1,M,Missing,,,Internal tooling,RFP-§7.2,S3,Bypass PSI quota
TR-ARC-005,SearXNG sidecar SERP context,ARCHITECTURE,P2,M,Missing,,,Internal tooling,RFP-§7.2,S5,AGPL sidecar pattern
TR-ARC-006,Qdrant self-host migration from Pinecone,ARCHITECTURE,P2,L,Missing,,,Internal tooling,RFP-§7.2,S5,At $30k MRR
TR-ARC-007,Claude Agent SDK for Apex Agents,ARCHITECTURE,P1,M,Missing,,,Internal tooling,RFP-§7.2,S4,
TR-ARC-008,MCP server via @modelcontextprotocol/sdk,ARCHITECTURE,P2,M,Missing,,,Peec has one,RFP-§7.2,S3,
TR-ARC-009,Presidio NER containerized sidecar,ARCHITECTURE,P0,M,Missing,,,Internal tooling,RFP-§7.2,S2,
TR-ARC-010,Stripe Connect + Metronome tenant sub-billing,ARCHITECTURE,P2,L,Missing,,,Enterprise pattern,RFP-§7.2,S5,
TR-ARC-011,Vanta-equivalent SOC 2 automation,ARCHITECTURE,P1,M,Missing,,,Vanta-powered trust centers,RFP-§7.2,S4,
TR-ARC-012,Cloudflare Workers regional scraping SA EU US,ARCHITECTURE,P1,L,Missing,,🎯,Peec claims regional infra,RFP-§7.2,S3,
DR-001,RLS policies on every tenant-scoped table,DATA,P0,M,Missing,,,Industry-standard,RFP-§7.3,S1,Critical
DR-002,Data residency single-region no border cross,DATA,P2,L,Missing,🏆,,None (for ZA),RFP-§7.3,S5,
DR-003,Time-series scores 2yr retention cold-storage after,DATA,P0,S,Partial,,,Industry-standard,RFP-§7.3,S1,
DR-004,LLM responses archived raw + embedded,DATA,P0,S,Partial,,,Industry-standard,RFP-§7.3,S1,
DR-005,GDPR right-to-erasure cascades correctly,DATA,P0,M,Partial,,,Industry-standard,RFP-§7.3,S2,
DR-006,Backup + PITR + restore test documented,DATA,P0,S,Partial,,,Industry-standard,RFP-§7.3,S1,
DR-007,Migration strategy Drizzle never manual SQL,DATA,P0,S,Shipping,,,Industry-standard,RFP-§7.3,S1,
